# b/R, abs(apm)/app, R = 6.38
1.112, 0.213215
1.116, 0.213993
1.12, 0.214776
1.124, 0.215565
1.128, 0.216359
1.132, 0.21716
1.136, 0.217966
1.14, 0.218779
1.144, 0.219597
1.148, 0.220422
1.152, 0.221252
1.156, 0.222089
1.16, 0.222933
1.164, 0.223782
1.168, 0.224639
1.172, 0.225502
1.176, 0.226371
1.18, 0.227247
1.184, 0.22813
1.188, 0.22902
1.192, 0.229916
1.196, 0.23082
1.2, 0.231731
1.204, 0.232648
1.208, 0.233574
1.212, 0.234506
1.216, 0.235446
1.22, 0.236393
1.224, 0.237348
1.228, 0.23831
1.232, 0.23928
1.236, 0.240258
1.24, 0.241244
1.244, 0.242238
1.248, 0.24324
1.252, 0.244251
1.256, 0.245269
1.26, 0.246296
1.264, 0.247332
1.268, 0.248376
1.272, 0.249429
1.276, 0.250491
1.28, 0.251562
1.284, 0.252641
1.288, 0.25373
1.292, 0.254829
1.296, 0.255936
1.3, 0.257053
1.304, 0.25818
1.308, 0.259317
1.312, 0.260463
1.316, 0.26162
1.32, 0.262787
1.324, 0.263964
1.328, 0.265152
1.332, 0.26635
1.336, 0.267559
1.34, 0.268778
1.344, 0.270009
1.348, 0.27125
1.352, 0.272503
1.356, 0.273768
1.36, 0.275043
1.364, 0.276331
1.368, 0.27763
1.372, 0.278941
1.376, 0.280265
1.38, 0.2816
1.384, 0.282949
1.388, 0.284309
1.392, 0.285683
1.396, 0.28707
1.4, 0.28847
1.404, 0.289883
1.408, 0.291311
1.412, 0.292751
1.416, 0.294206
1.42, 0.295675
1.424, 0.297159
1.428, 0.298657
1.432, 0.300169
1.436, 0.301697
1.44, 0.303239
1.444, 0.304797
1.448, 0.306371
1.452, 0.307961
1.456, 0.309566
1.46, 0.311189
1.464, 0.312828
1.468, 0.314484
1.472, 0.316157
1.476, 0.317848
1.48, 0.319556
1.484, 0.321282
1.488, 0.323027
1.492, 0.32479
1.496, 0.326572
1.5, 0.328373
1.504, 0.330194
1.508, 0.332034
1.512, 0.333894
1.516, 0.335775
1.52, 0.337676
1.524, 0.339598
1.528, 0.341541
1.532, 0.343506
1.536, 0.345493
1.54, 0.347502
1.544, 0.349534
1.548, 0.351589
1.552, 0.353667
1.556, 0.355769
1.56, 0.357895
1.564, 0.360045
1.568, 0.36222
1.572, 0.364421
1.576, 0.366647
1.58, 0.368901
1.584, 0.371181
1.588, 0.373488
1.592, 0.375823
1.596, 0.378188
1.6, 0.380581
1.604, 0.383003
1.608, 0.385456
1.612, 0.387939
1.616, 0.390454
1.62, 0.393
1.624, 0.395578
1.628, 0.398189
1.632, 0.400834
1.636, 0.403512
1.64, 0.406226
1.644, 0.408974
1.648, 0.411759
1.652, 0.414581
1.656, 0.417439
1.66, 0.420336
1.664, 0.423273
1.668, 0.42625
1.672, 0.429267
1.676, 0.432325
1.68, 0.435425
1.684, 0.438568
1.688, 0.441755
1.692, 0.444987
1.696, 0.448264
1.7, 0.451587
1.704, 0.454958
1.708, 0.458377
1.712, 0.461847
1.716, 0.465368
1.72, 0.468941
1.724, 0.47257
1.728, 0.476254
1.732, 0.479993
1.736, 0.483789
1.74, 0.487643
1.744, 0.491556
1.748, 0.49553
1.752, 0.499566
1.756, 0.503665
