0.1587   1.77       132.2     
0.1622   2.76       108.9
0.1686   3.91       84.9
0.1797   5.06       60.0
0.1946   6.00       41.3
0.2156   6.82       27.7
0.2475   7.57       17.9
0.3031   8.27       11.2
0.4383   8.97       6.7  

