# app, apm, abs(apm)/app
3.82859e-08, -2.01702e-09, 0.0526832
1.52659e-07, -9.63589e-09, 0.0631202
4.06748e-07, -3.1615e-08, 0.0777264
9.86689e-07, -1.00019e-07, 0.101368
2.00991e-06, -2.6829e-07, 0.133484
3.83216e-06, -7.00422e-07, 0.182774
6.91622e-06, -1.86949e-06, 0.270306
1.00706e-05, -4.67445e-06, 0.464168
0, 0, nan
