# app, apm, abs(apm)/app
9.97004e-11, -1.273e-11, 0.127682
1.61039e-10, -2.42281e-11, 0.150448
1.79646e-10, -3.24509e-11, 0.180637
1.56323e-10, -3.54874e-11, 0.227013
1.09236e-10, -3.12709e-11, 0.28627
6.07005e-11, -2.24216e-11, 0.36938
2.19768e-11, -1.08933e-11, 0.495675
5.14799e-12, -3.65365e-12, 0.709724
0, 0, nan
