# app, apm, abs(apm)/app
5.54442e-09, -3.02297e-10, 0.0545228
1.16008e-08, -7.48166e-10, 0.0644926
1.84541e-08, -1.49444e-09, 0.0809817
2.53396e-08, -2.75982e-09, 0.108914
2.96851e-08, -4.45385e-09, 0.150037
3.01585e-08, -6.63157e-09, 0.219891
2.24887e-08, -8.38936e-09, 0.373048
7.28837e-10, -6.85599e-10, 0.940676
0, 0, nan
