# app, apm, abs(apm)/app
5.06463e-09, -6.28264e-11, 0.0124049
1.55176e-08, -2.31191e-10, 0.0148987
3.23755e-08, -5.99417e-10, 0.0185146
5.76058e-08, -1.40316e-09, 0.024358
8.50482e-08, -2.78952e-09, 0.0327993
1.11928e-07, -5.23184e-09, 0.046743
1.23694e-07, -9.33552e-09, 0.0754728
8.48976e-08, -1.46185e-08, 0.17219
0, 0, nan
